Substratum	Treatment_2	TH	n	SL	RL	NL	SDM	LDM	RDM	TDM	SMR	LMR	RMR	RAB	RLR
Soil	4_Soil+Trichoderma	With	2	7.55	9.25	3	0.00835	0.0107	0.0061	0.02515	0.33201	0.42545	0.24254	1.56148	0.57009
Soil	4_Soil+Trichoderma	With	1	11.6	9.3	5	0.044	0.0517	0.0126	0.1083	0.40628	0.47738	0.11634	7.59524	0.24371
Soil	4_Soil+Trichoderma	With	3	9.633	8.033	2	0.01207	0.01187	0.00533	0.02927	0.4123	0.40547	0.18223	1.49583	0.44944
Soil	4_Soil+Trichoderma	With	2	9.45	6.6	3	0.0177	0.0157	0.00785	0.04125	0.42909	0.38061	0.1903	2.12739	0.5
Soil	4_Soil+Trichoderma	With	3	9.333	6.333	3	0.01663	0.01723	0.0065	0.04037	0.41206	0.42692	0.16102	1.73675	0.37718
Soil	4_Soil+Trichoderma	With	3	9.4	5.267	3	0.01417	0.0125	0.00533	0.032	0.44271	0.39063	0.16667	1.66667	0.42667
Soil	4_Soil+Trichoderma	With	1	12.5	10.4	4	0.034	0.0504	0.0213	0.1057	0.32167	0.47682	0.20151	3.96244	0.42262
Soil	4_Soil+Trichoderma	With	3	9.833	8.233	3	0.01607	0.01353	0.00913	0.03873	0.4148	0.3494	0.2358	1.08029	0.67488
Soil	4_Soil+Trichoderma	With	2	12.45	9.2	3	0.0246	0.01875	0.00845	0.0518	0.4749	0.36197	0.16313	2.56509	0.45067
Soil	4_Soil+Trichoderma	With	1	14.1	7.6	4	0.0435	0.0363	0.0152	0.095	0.45789	0.38211	0.16	5.25	0.41873
Soil	4_Soil+Trichoderma	With	1	12.4	9.7	3	0.0316	0.0334	0.0179	0.0829	0.38118	0.4029	0.21592	3.63128	0.53593
Soil	4_Soil+Trichoderma	With	1	11.5	11.6	3	0.0247	0.0296	0.0136	0.0679	0.36377	0.43594	0.20029	3.99265	0.45946
Soil	4_Soil+Trichoderma	With	1	12.5	7.7	3	0.0221	0.0199	0.0084	0.0504	0.43849	0.39484	0.16667	5	0.42211
Soil	4_Soil+Trichoderma	With	1	10.8	10.1	3	0.0182	0.0201	0.0112	0.0495	0.36768	0.40606	0.22626	3.41964	0.55721
Soil	4_Soil+Trichoderma	With	1	7.6	3.5	3	0.0126	0.0173	0.0037	0.0336	0.375	0.51488	0.11012	8.08108	0.21387
Soil	4_Soil+Trichoderma	With	2	10.55	9.5	7	0.02195	0.02455	0.0116	0.0581	0.3778	0.42255	0.19966	2.00431	0.47251
Soil	4_Soil+Trichoderma	With	4	11.55	8.125	3	0.0175	0.01573	0.0082	0.04143	0.42245	0.3796	0.19795	1.01296	0.52146
Soil	4_Soil+Trichoderma	With	1	11.5	13.6	4	0.0306	0.0271	0.0142	0.0719	0.42559	0.37691	0.1975	4.06338	0.52399
Soil	4_Soil+Trichoderma	With	1	12.3	10.7	6	0.036	0.0496	0.0126	0.0982	0.3666	0.50509	0.12831	6.79365	0.25403
Soil	4_Soil+Trichoderma	With	3	8.8	9.9	3	0.01487	0.01367	0.009	0.03753	0.39609	0.36412	0.23979	1.05679	0.65854
Soil	4_Soil+Trichoderma	With	3	12.567	9.733	3	0.02223	0.01767	0.00853	0.04843	0.45905	0.36476	0.17619	1.55859	0.48302
Soil	4_Soil+Trichoderma	With	1	13.5	9.7	3	0.0284	0.0183	0.0074	0.0541	0.52495	0.33826	0.13678	6.31081	0.40437
Soil	4_Soil+Trichoderma	With	2	11.1	9.8	3	0.021	0.01705	0.0112	0.04925	0.4264	0.34619	0.22741	1.69866	0.65689
Soil	4_Soil+Trichoderma	With	2	11.4	9.9	3	0.0184	0.01575	0.00815	0.0423	0.43499	0.37234	0.19267	2.09509	0.51746
Soil	4_Soil+Trichoderma	With	2	8.35	8.15	3	0.0114	0.0169	0.00555	0.03385	0.33678	0.49926	0.16396	2.54955	0.3284
Soil	4_Soil+Trichoderma	With	2	11.4	7.55	3	0.02835	0.03025	0.01295	0.07155	0.39623	0.42278	0.18099	2.26255	0.4281
Soil	4_Soil+Trichoderma	With	1	12.7	12	4	0.0469	0.05	0.0247	0.1216	0.38569	0.41118	0.20313	3.92308	0.494
Soil	4_Soil+Trichoderma	With	1	13.7	12.2	3	0.0539	0.0546	0.0254	0.1339	0.40254	0.40777	0.18969	4.27165	0.4652
Soil	4_Soil+Trichoderma	With	1	15	10.4	3	0.0503	0.049	0.0203	0.1196	0.42057	0.4097	0.16973	4.89163	0.41429
Soil	4_Soil+Trichoderma	With	2	10.75	9.95	3	0.01925	0.0171	0.0096	0.04595	0.41893	0.37214	0.20892	1.89323	0.5614
Soil	4_Soil+Trichoderma	With	2	9.1	10.8	4	0.01335	0.0201	0.0077	0.04115	0.32442	0.48846	0.18712	2.17208	0.38308
Soil	4_Soil+Trichoderma	With	1	11	14.7	3	0.0328	0.0437	0.0181	0.0946	0.34672	0.46195	0.19133	4.22652	0.41419
Soil	4_Soil+Trichoderma	With	2	11.15	8.05	3	0.02535	0.0204	0.00835	0.0541	0.46858	0.37708	0.15434	2.73952	0.40931
Soil	4_Soil+Trichoderma	With	3	11.3	7.333	3	0.0228	0.01903	0.00893	0.05077	0.44911	0.37492	0.17597	1.56095	0.46935
Soil	4_Soil+Trichoderma	With	1	15.7	14.1	3	0.0419	0.0348	0.0164	0.0931	0.45005	0.37379	0.17615	4.67683	0.47126
