Genotype	Pollination	Season	Period	Repetition	Esp_Total	Esp_Epi_Par_Col	Esp_Par	Esp_Par_Col_End	Area_celulas_1	Area_celulas_2	Area_celulas_3
Salada	Natural	Summer	35	1	7959.7650	98.0386	7751.8720	109.5726	37919.0510	667692.6600	7683.6039
Salada	Natural	Summer	35	2	7038.4720	98.0386	6749.8270	179.0162	27057.5410	667629.5400	3513.1464
Salada	Natural	Summer	35	3	7903.7343	98.5159	7743.6620	98.9932	34633.3910	817225.4300	14992.4580
Salada	Natural	Summer	35	4	7931.4847	179.6189	7521.9587	230.8848	29432.3627	509481.3600	5109.7316
Salada	Natural	Summer	42	1	7539.1653	126.8735	7255.0833	133.0504	24197.8150	626370.2600	14492.5892
Salada	Natural	Summer	42	2	7583.6683	133.2115	7322.2327	108.0945	36950.7430	705417.1700	17162.5445
Salada	Natural	Summer	42	3	5940.2600	92.2716	5726.9373	121.1065	29146.2140	691730.3500	16296.9042
Salada	Natural	Summer	42	4	5592.0300	167.2424	5297.6613	149.9414	40552.7880	620258.0700	15715.0214
Salada	Natural	Summer	49	1	8672.0310	202.3273	8275.0017	190.8512	30400.9710	557010.7400	8748.5927
Salada	Natural	Summer	49	2	7112.5160	167.4638	6725.4630	196.0773	26291.2770	766244.1500	5485.6802
Salada	Natural	Summer	49	3	6104.1260	69.2037	5918.1563	94.4929	27402.3610	639305.1650	15937.7166
Salada	Natural	Summer	49	4	7936.2623	237.8758	7506.9993	232.9960	21296.7830	707662.3750	8018.5465
Salada	Natural	Summer	56	1	5738.6480	80.7377	5551.5957	81.4476	37399.7270	831322.3500	4563.4680
Salada	Natural	Summer	56	2	6513.4983	208.6925	6137.2060	161.4754	31766.4800	460161.3840	10053.6379
Salada	Natural	Summer	56	3	6244.4423	115.6590	6021.3687	127.2325	25971.0000	462457.1500	11191.9621
Salada	Natural	Summer	56	4	7937.8323	74.9707	7737.3947	110.1436	25668.0870	767882.6280	11106.0562
Santa Cruz	Mechanics	Winter	14	1	848.9057	34.8826	784.2545	27.3450	18164.3770	277461.0200	1128.4452
Santa Cruz	Mechanics	Winter	14	2	604.3934	62.2834	502.9557	44.0200	14611.4199	169219.7800	872.9293
Santa Cruz	Mechanics	Winter	14	3	484.5257	46.1358	389.9482	46.1358	11268.2897	117066.1620	632.2400
Santa Cruz	Mechanics	Winter	21	1	2149.0500	64.9662	2025.0040	44.7175	17009.2910	400702.2200	1931.2276
Santa Cruz	Mechanics	Winter	21	2	2935.8970	78.5460	2785.7977	62.2834	1264.0383	12879.2411	2392.1840
Santa Cruz	Mechanics	Winter	21	3	3877.3157	66.4266	3709.4160	99.4901	25769.2580	506207.6600	5056.1529
Santa Cruz	Mechanics	Winter	21	4	5013.6107	74.9707	4828.8547	115.3396	23543.4980	222384.5260	1736.6681
Santa Cruz	Mechanics	Winter	28	1	3995.8360	67.3858	3834.6063	97.5705	29697.5660	476662.4300	3109.0611
Santa Cruz	Mechanics	Winter	28	2	5274.4717	103.8056	5016.5283	163.7307	26344.5560	627189.5200	1452.6113
Santa Cruz	Mechanics	Winter	28	3	4943.9217	132.9995	4701.4600	132.6405	33502.5500	454180.0300	4970.5466
Santa Cruz	Mechanics	Winter	28	4	3916.9303	126.8735	3663.1380	133.0504	27564.8930	367267.9110	4194.7032
Santa Cruz	Mechanics	Winter	35	1	6536.1320	75.4480	6287.9380	214.3652	29093.2310	708633.0300	8895.8608
Santa Cruz	Mechanics	Winter	35	2	5740.6533	80.7377	5379.7113	290.1169	29668.2320	591293.6500	6902.6720
Santa Cruz	Mechanics	Winter	35	3	7693.3630	138.4075	7410.6273	167.2423	31625.8000	558299.0200	1525.0473
